"species","thr10","thr_min"
"Araucaria_angustifolia",0.296769581609109,0.0429822072467279
"Aspidosperma_australe",0.462998452064764,0.167679473385123
"Aspidosperma_olivaceum",0.315350547881424,0.0696310311292048
"Aspidosperma_parvifolium",0.436286150970206,0.179973800708619
"Aspidosperma_ramiflorum",0.414213572180498,0.0608322630740356
"Aspidosperma_tomentosum",0.344043721406824,0.076779623655258
"Ateleia_glazioveana",0.157302484171199,0.00583112903792427
"Athenaea_fasciculata",0.27107443746996,0.0166574962906023
"Attalea_dubia",0.245606372466219,0.145856018233404
"Azara_uruguayensis",0.160071578093771,0.0331240834797833
"Baccharis_aliena",0.143340931872926,0.00336458766779668
"Baccharis_angusticeps",0.136849614990539,0.0758396323858462
"Baccharis_dracunculifolia",0.501654633362597,0.331540481715919
"Baccharis_oreophila",0.225083028703948,0.00430412175089484
"Baccharis_semiserrata",0.345038204388733,0.140263822149305
"Baccharis_uncinella",0.237722434240833,0.0167804096284446
"Balfourodendron_riedelianum",0.241730789711304,0.0689524888893497
"Banara_parviflora",0.269077747398493,0.0528245699381367
"Banara_tomentosa",0.450092819600416,0.252848537733003
"Bastardiopsis_densiflora",0.23737869814697,0.06112171845796
"Bathysa_australis",0.285248280009691,0.00394908306612168
"Bauhinia_forficata",0.366489702819678,0.0595960607906313
"Blepharocalyx_salicifolius",0.34867901030894,0.237668532726677
"Boehmeria_caudata",0.279644514123029,0.0313106229408785
"Bougainvillea_glabra",0.358762780622613,0.126852085024348
"Brosimum_glaziovii",0.420585672928351,0.33053683059099
"Brosimum_lactescens",0.25767887164873,0.0552862161764025
"Brunfelsia_australis",0.582442330942392,0.0285675151123247
"Bunchosia_maritima",0.184317477843163,0.0440709043900069
"Butia_catarinensis",0.18868811115954,0.0376183246162757
"Butia_eriospatha",0.353802719609085,0.194354896626768
"Byrsonima_ligustrifolia",0.202793978188743,0.0203393317938295
"Cabralea_canjerana",0.370643899873854,0.101290548243172
"Calliandra_foliolosa",0.257894268308746,0.0134558899764337
"Callisthene_kuhlmannii",0.282048667599049,0.175145366967805
"Calophyllum_brasiliense",0.516516974168481,0.170262246965127
"Campomanesia_guaviroba",0.380063634352405,0.031477074906015
"Campomanesia_guazumifolia",0.327948539816621,0.0313913908515306
"Campomanesia_reitziana",0.368683008047586,0.232381114206695
"Campomanesia_xanthocarpa",0.346153051527763,0.0487267413693494
"Cariniana_estrellensis",0.500857997870789,0.121801092345963
"Casearia_catharinensis",0.302164090834839,0.279215846495343
"Casearia_decandra",0.439990309652831,0.252811858674903
"Casearia_lasiophylla",0.274064680325767,0.0252771501144777
"Casearia_obliqua",0.370369869891234,0.115834512733405
"Casearia_sylvestris",0.54436972379801,0.107520245207804
"Cassia_leptophylla",0.468406035704292,0.263748166800763
"Cecropia_glaziovii",0.40036790645736,0.0207488848020402
"Cedrela_fissilis",0.487084431454642,0.164085075718697
"Cedrela_odorata",0.238771265441295,0.0503301890958026
"Ceiba_speciosa",0.472743630241992,0.293810139236226
"Celtis_brasiliensis",0.485337873398487,0.176127906040304
"Celtis_iguanaea",0.461145216151028,0.115705285259407
"Centrolobium_microchaete",0.360629552900072,0.165142651016166
"Cereus_hildmannianus",0.265015966711894,0.023418822360773
"Cestrum_bracteatum",0.26067534556403,0.0293746087437751
"Cestrum_intermedium",0.378059407938795,0.141170265040911
"Chionanthus_filiformis",0.414574231711144,0.0143216698433379
"Chionanthus_micranthus",0.293415586633421,0.238161397638378
"Chionanthus_trichotomus",0.472957626286142,0.349586201446171
"Chomelia_obtusa",0.41008614874967,0.0307348820730053
"Chromolaena_laevigata",0.400640120179449,0.0148378402592449
"Chrysophyllum_gonocarpum",0.43014008986277,0.234355863393072
"Chrysophyllum_inornatum",0.233032698684824,0.0270424669943146
"Chrysophyllum_marginatum",0.510444459874081,0.257108839218509
"Chrysophyllum_viride",0.138667275085042,0.0591192655942134
"Cinnamodendron_dinisii",0.228356421986805,0.106192649325619
"Cinnamomum_amoenum",0.330270217566966,0.125182688718168
"Cinnamomum_hatschbachii",0.251356861064027,0.220704801677975
"Cinnamomum_hirsutum",0.197461332774323,0.106286797758144
"Cinnamomum_pseudoglaziovii",0.306476880196858,0.0390551859001221
"Cinnamomum_sellowianum",0.359287232705822,0.189503687503379
"Cinnamomum_triplinerve",0.183324310922469,0.0567090198835875
"Citharexylum_montevidense",0.344711951310313,0.0327422466137121
"Citharexylum_myrianthum",0.356402859796377,0.0384428849497792
"Citharexylum_solanaceum",0.422909099382993,0.245347013544991
"Citronella_engleriana",0.343200744807121,0.196594100843926
"Citronella_gongonha",0.221091200543059,0.0951451167661236
"Citronella_paniculata",0.33855877568577,0.0181793374869451
"Clethra_scabra",0.317365486523246,0.0824686547528489
"Clethra_uleana",0.285625270089111,0.0866087021204194
"Clusia_criuva",0.289598524524233,0.0511876545645027
"Coccoloba_argentinensis",0.574764691169239,0.443533642906116
"Coccoloba_cordata",0.380143032727718,0.164361975322184
"Coccoloba_warmingii",0.396012722362977,0.108791887704847
"Colubrina_glandulosa",0.470964385285859,0.176999921866737
"Condalia_buxifolia",0.210687197101301,0.00306972301842345
